date,model,realised_r,VaR_95,ES_95,VaR_99,ES_99
2017-12-06,Merton,-0.007355365457362595,0.011484040414682033,0.017572870482357186,0.02153364091659691,0.028166314790339434
2017-12-06,HistSim,-0.007355365457362595,0.012869580417317113,0.017609291420815295,0.020278169382724344,0.025742661890605235
2017-12-07,GARCH,0.012132334291871771,0.009448855112275728,0.0119928393628575,0.013951561584822322,0.01583652915992618
2017-12-07,Heston,0.012132334291871771,0.019194120682018125,0.024022918742590143,0.026793655745593625,0.031106863241661988
2017-12-07,Merton,0.012132334291871771,0.011928148775330988,0.017249191872827304,0.020718228503349034,0.025789603503662842
2017-12-07,HistSim,0.012132334291871771,0.012869580417317113,0.017609291420815295,0.020278169382724344,0.025742661890605235
2017-12-08,GARCH,0.00968571564624554,0.010037715228098902,0.012679535553635577,0.014195397107469965,0.01655513944675113
2017-12-08,Heston,0.00968571564624554,0.019638678524962996,0.024859838142934666,0.028389949062792717,0.03221254965283632
2017-12-08,Merton,0.00968571564624554,0.011894525260916479,0.017861715233978642,0.021637178838318973,0.027413523658136558
2017-12-08,HistSim,0.00968571564624554,0.012869580417317113,0.017609291420815295,0.020278169382724344,0.025742661890605235
2017-12-11,GARCH,0.005498351059959106,0.010342148508233904,0.013220048471111792,0.015165843434024849,0.017272858522840922
2017-12-11,Heston,0.005498351059959106,0.01965748990265241,0.02462786601453586,0.02782746367170307,0.032091008916380684
2017-12-11,Merton,0.005498351059959106,0.01221743786056827,0.01796902041022937,0.021921814215128066,0.02843400656249345
2017-12-11,HistSim,0.005498351059959106,0.012869580417317113,0.017609291420815295,0.020278169382724344,0.025742661890605235
2017-12-12,GARCH,-0.00798545345762669,0.010107759291181198,0.012786435313220892,0.014510788829232872,0.01680853374002426
2017-12-12,Heston,-0.00798545345762669,0.020081584262420873,0.025407462985380193,0.028767552459489896,0.03271849174334077
2017-12-12,Merton,-0.00798545345762669,0.011937684962013292,0.017287419860472795,0.020687020088643697,0.02612368408362413
2017-12-12,HistSim,-0.00798545345762669,0.012869580417317113,0.017609291420815295,0.020278169382724344,0.025742661890605235
2017-12-13,GARCH,-0.004619982079399065,0.010424461736463072,0.013313072655331737,0.015135493263868578,0.017278374645286386
2017-12-13,Heston,-0.004619982079399065,0.019952800865665688,0.02516723441478095,0.028117247233010813,0.032858927362018696
2017-12-13,Merton,-0.004619982079399065,0.011967907230326017,0.017640481182480534,0.021201687700486894,0.026661806305458727
2017-12-13,HistSim,-0.004619982079399065,0.012869580417317113,0.017609291420815295,0.020278169382724344,0.025742661890605235
2017-12-14,GARCH,0.005786200538018704,0.010189958911114606,0.012976441333257843,0.014552865461721326,0.01708671850759016
2017-12-14,Heston,0.005786200538018704,0.019908009182418758,0.024723291284953153,0.027470966022659735,0.03150976185038759
2017-12-14,Merton,0.005786200538018704,0.011877621046838949,0.017916090349670104,0.021568666165444898,0.028255467401415223
2017-12-14,HistSim,0.005786200538018704,0.012869580417317113,0.017609291420815295,0.020278169382724344,0.025742661890605235
2017-12-15,GARCH,0.007884326721782742,0.010066581359079686,0.01262018222607696,0.01407730653219832,0.016219127573562152
2017-12-15,Heston,0.007884326721782742,0.020030140106228413,0.024795461576589538,0.028061584182758576,0.03195021706537128
2017-12-15,Merton,0.007884326721782742,0.01245906529807867,0.01749258029728505,0.020601723094186918,0.025930834154699947
2017-12-15,HistSim,0.007884326721782742,0.012869580417317113,0.017609291420815295,0.020278169382724344,0.025742661890605235
2017-12-18,GARCH,0.005356638616710541,0.010147709886904456,0.01267892136390749,0.014413798449840504,0.016479336366545784
2017-12-18,Heston,0.005356638616710541,0.020290857855461357,0.02560072597965639,0.02889488081290761,0.032811630786811256
2017-12-18,Merton,0.005356638616710541,0.012313722958414175,0.01734094420847441,0.020626935842868583,0.02588434512598919
2017-12-18,HistSim,0.005356638616710541,0.012869580417317113,0.017609291420815295,0.020278169382724344,0.025742661890605235
2017-12-19,GARCH,0.007140867974317899,0.01009096762607463,0.012863339795433092,0.014583273881865385,0.01662827544650068
2017-12-19,Heston,0.007140867974317899,0.019482182465806772,0.024844024215870505,0.028112154921165894,0.032245112102524634
2017-12-19,Merton,0.007140867974317899,0.012631646753963773,0.017929200941931865,0.021575137131788446,0.026314999725737538
2017-12-19,HistSim,0.007140867974317899,0.012869580417317113,0.017609291420815295,0.020278169382724344,0.025742661890605235
2017-12-20,GARCH,-0.0018175387542651578,0.009660693135215994,0.012461209232990439,0.014168169840267199,0.016326833534075408
2017-12-20,Heston,-0.0018175387542651578,0.020332937382968767,0.025541902039780268,0.028656126971464385,0.033248021313084755
2017-12-20,Merton,-0.0018175387542651578,0.011698383694501815,0.017341484910366498,0.020910168664325914,0.02716626869254003
2017-12-20,HistSim,-0.0018175387542651578,0.012869580417317113,0.017609291420815295,0.020278169382724344,0.025742661890605235
2017-12-21,GARCH,-0.00037352013889346836,0.009976905570355112,0.012657242997267861,0.014259706095054973,0.016622522331133604
2017-12-21,Heston,-0.00037352013889346836,0.019743738199536124,0.02482320152761208,0.028160486507308496,0.03149485999066861
2017-12-21,Merton,-0.00037352013889346836,0.0115946602814436,0.017262838169342574,0.021709199485164487,0.027248786966788882
